நடிகர்,அறிமுகஆண்டு,அறிமுகதிரைபடம்,பாலினம்,குறிப்பிடத்தக்க படங்கள்,பிறப்பு,அகவை,பிறந்த இடம்,பணி,திரைப்பட எண்ணிக்கை
ஸ்னேகா,2002,விரும்புகிறேன்,பெண்,"என்னவளே, ஆனந்தம், பார்த்தாலே பரவசம், விரும்புகிறேன், ஏய் நீ ரொம்ப அழகா இருக்கே, உன்னை நினைத்து, கிங், புன்னகை தேசம்,  பம்மல் கே. சம்பந்தம், ஏப்ரல் மாதத்தில், வசீகரா, பார்த்திபன் கனவு, வசூல்ராஜா எம். பி. பி. எஸ், ஜனா, போஸ், ஆட்டோகிராப், அதுவ, ஆயுதம், சின்னா, ஏபிசிடி",1981,40,"மும்பை, இந்தியா",நடிகை,55
லைலா,1999,கள்ளழகர்,பெண்,"கள்ளழகர், ரோஜாவனம், பார்த்தேன் ரசித்தேன், தில், தீனா, உன்னை நினைத்து, அள்ளித்தந்த வானம், காமராசு, நந்தா, பிதாமகன், மௌனம் பேசியதே, திரீ ரோசஸ், கம்பீரம், பரமசிவன், திருப்பதி, ஜெய்சூர்யா",1980,41,"கோவா, இந்தியா",நடிகை,45
ஷாலினி,1997,காதலுக்கு மரியாதை,பெண்,"அலைபாயுதே, காதலுக்கு மரியாதை, கண்ணுக்குள் நிலவு, அமர்க்களம், பிரியாத வரம் வேண்டும், ராஜா சின்ன ரோஜா",1979,42,"திருவல்லா, கேரளா, இந்தியா",நடிகை,29
சங்கீதா,1990,வாழ்ந்து காட்டுவோம்,பெண்,"வாழ்ந்து காட்டுவோம், இதயவாசல், சின்ன பசங்க நாங்க, வசந்த மலர்கள், தேவர் வீட்டு பொண்ணு, மகாநதி,  கேப்டன், என் ராஜாங்கம்,  சரிகமபதநீ",1975,46,"கோவா, இந்தியா",நடிகை,23
மாளவிகா,1999,உன்னைத் தேடி,பெண்,"ரோஜா வனம், வெற்றிக் கொடி கட்டு, சந்திரமுகி, வியாபாரி, திருட்டு பயலே, வசூல்ராஜா எம்.பி.பி.எஸ், பேரழகன்",1979,42,"பெங்களூர், இந்தியா",நடிகை,33
சிம்ரன்,1997,ஒன்ஸ்மோர்,பெண்,"ஒன்ஸ்மோர், பூச்சூடவா , வி.ஐ.பி, நேருக்கு நேர், நட்புக்காக, துள்ளாத மனமும் துள்ளும், கண்ணெதிரே தோன்றினாள், அவள் வருவாளா, வாலி, ஜோடி, பிரியமானவளே, உன்னை கொடு என்னைத் தருவேன், பார்த்தேன் ரசித்தேன், தமிழ், பஞ்சதந்திரம், ரமணா, கன்னத்தில் முத்தமிட்டால், நியூ, வாரணம் ஆயிரம், உதயா",1976,45,"மும்பை, மகாராஷ்டிரா, இந்தியா",நடிகை,44
நக்மா,1994,காதலன்,பெண்,"காதலன்,  பாட்சா, ரகசியப் போலிஸ், வில்லாதி வில்லன், மேட்டுக்குடி,  ஜானகிராமன், பெரிய தம்பி, பிஸ்தா, அரவிந்தன், வேட்டிய மடிச்சு கட்டு",1974,47,"மும்பை, மகாராஷ்டிரா, இந்தியா",நடிகை,34
ஜோதிகா,1999,வாலி,பெண்,"காற்றின் மொழி, 36 வயதினிலே, மொழி, பச்சைக்கிளி முத்துச்சரம், வேட்டையாடு விளையாடு, சில்லுனு ஒரு காதல், சரவணா, ஜூன் ஆர், மாயாவி, சந்திரமுகி, அருள், பேரழகன், மன்மதன், திருமலை, த்ரீ ரோசஸ், காக்க காக்க, தூள், பிரியமான தோழி, ராஜா, லிட்டில் ஜான், 123, பூவெல்லாம் உன் வாசம், டும் டும் டும், 12 பி, ஸ்டார், தெனாலி, குஷி, ரிதம், உயிரிலே கலந்தது, முகவரி, சிநேகிதியே, பூவெல்லாம் கேட்டுப்பார், வாலி",1978,43,"மும்பை, மகாராஷ்டிரா, இந்தியா",நடிகை,38
சுவலட்சுமி ,1995,ஆசை,பெண்,"ஆசை, லவ் டுடே, கோகுலத்தில் சீதை, நிலாவே வா, இனியவளே, பொன்மனம், தினந்தோறும், நீ வருவாய் என, ஹவுஸ் புல், சுயம்வரம், மாயி, பொட்டு அம்மன், சந்தோஷம்",1977,44,கொல்கத்தா,நடிகை,33
ரம்பா,1993,உழவன்,பெண்,"உழவன்,  உள்ளத்தை அளித்தா, சுந்தர புருஷன், செங்கோட்டை, தர்ம சக்கரம், அடிமைச் சங்கிலி, வி.ஐ.பி, அருணாச்சலம், ஜானகிராமன், நினைத்தேன் வந்தாய், காதலா காதலா",1974,47,"விசயவாடா, ஆந்திரப் பிரதேசம், இந்தியா",நடிகை,39
ஷோபா,1966,தட்டுங்கள் திறக்கப்படும்,பெண்,"தட்டுங்கள் திறக்கப்படும், அச்சாணி, நிழல் நிஜமாகிறது, ஒரு வீடு ஒரு உலகம், முள்ளும் மலரும், வீட்டுக்கு வீடு வாசப்படி, ஒரு விடுகதை, தொடர்கதை, ஏணிப் படிகள், பசி, அழியாத கோலங்கள், அகல் விளக்கு, சக்களத்தி, வேலி தாண்டிய வெள்ளாடு, மூடு பனி, பொன்னகரம், சாமந்திப்பூ, அன்புள்ள அத்தான்",1980,25,"சென்னை, தமிழ்நாடு, இந்தியா",நடிகை,22
ராதா,1981,அலைகள் ஓய்வதில்லை,பெண்,"மறுபக்கம், சாந்தி எனது சாந்தி, சிகரம், மனைவி ஒரு மாணிக்கம், ராஜாதி ராஜா, ஒரு பொண்ணு நினைச்சா, நியாயத் தராசு, உள்ளத்தில் நல்ல உள்ளம், என் உயிர் கண்ணம்மா, அண்ணாநகர் முதல் தெரு",1966,55,"திருவனந்தபுரம், கேரளா, இந்தியா",நடிகை,20
சுகாசினி,1980,நெஞ்சத்தைக் கிள்ளாதே,பெண்,"நெஞ்சத்தை கிள்ளாதே, பாலைவனச்சோலை, ஆகாய கங்கை, உருவங்கள் மாறலாம், தாய் வீடு, சிந்து பைரவி, மனதில் உறுதி வேண்டும், தர்மத்தின் தலைவன், என் பொம்முக்குட்டி அம்மாவுக்கு, என் புருஷன்தான் எனக்கு மட்டும்தான், வசீகரா, ஷாக், சத்தம் போடாதே, ஏகன், பலம், ராக்கி, அசல், ராவணா, சீடன், தில்லாலங்கடி, ஸ்ரவந்தி",1961,60,"பரமக்குடி, தமிழ்நாடு, இந்தியா"," நடிகை, இயக்குனர், தயாரிப்பாளர், எழுதாளர்",41
சீதா,1985,ஆண்பாவம்,பெண்,"ஆண்பாவம், உன்னால் முடியும் தம்பி, வெற்றிமேல் வெற்றி, மருதுபாண்டி, ஆயிரம் பூக்கள் மலரட்டும், பாரிஜாதம், புதியபாதை, ஆதி, மதுர, வியாபாரி",1968,53,"சென்னை, தமிழ்நாடு"," நடிகை, தயாரிப்பாளர்",46
சுகன்யா,1991,புது நெல்லு புது நாத்து,பெண்,"புது நெல்லு புது நாத்து, எம். ஜி.ஆர் நகரில், சின்ன கவுண்டர், கோட்டைவாசல், திருமதி பழனிச்சாமி, தம்பி பொண்டாடி, செந்தமிழ் பாட்டு,  இளவரசன், சோலையம்மா, சின்ன மாப்ளே, உடன் பிறப்பு, கருப்பு வெள்ளை",1969,52,"சென்னை, தமிழ்நாடு",நடிகை,55
ஸ்ரீதேவி,1969,துணைவன்,பெண்,"துணைவன், நம் நாடு, அகத்தியர், பெண் தெய்வம், பாபு, யானை வளர்த்த வானம்பாடி மகன், கனிமுத்து பாப்பா, மலைநாட்டு மங்கை, வசந்த அறைகள்,  நண்பன், தெய்வ குழந்தைகள், பிரார்த்தனை, தசாவதாரம்",1963,58,"மீனம்பட்டி, சிவகாசி, தமிழ்நாடு, இந்தியா","நடிகை, தயாரிப்பாளர்",44
சிறீபிரியா ,1974,முருகன் காட்டிய வழி ,பெண்,"ஆடு புலி ஆட்டம் , மாங்குடி மைனர் , பைரவி, இளமை ஊஞ்சலாடுகிறது, சட்டம் என் கையில், அவள் அப்படித்தான் , தாய் மீது சத்தியம், திரிசூலம் , அன்னை ஓர் ஆலயம் , மங்களவாத்தியம் , நீயா, நட்சத்திரம், பில்லா, தீ, ராம் லட்சுமண், சவால், சிம்லா ஸ்பெஷல், வாழ்வே மாயம், நானே வருவேன்",1956,65,"சென்னை, தமிழ்நாடு, இந்தியா","நடிகை, இயக்குநர், அரசியல்வாதி",34
சுஜாதா,1972,அவள் ஒரு தொடர்கதை,பெண்,"அவர்கள், கடல் மீன்கள், ஒரு ஊதாப்பூ கண் சிமிட்டுகிறது, மயங்குகிறாள் ஒரு மாது, அமைதிப்படை, விதி, வில்லன், நட்புக்காக, வரலாறு, அந்தமான் காதலி, பலப்பரீட்சை, பரீட்சைக்கு நேரமாச்சு, உழைப்பாளி, பாபா",1952,59,கொழும்பு இலங்கை,நடிகை,27
ஸ்ரீவித்யா,1967,திருவருட்செல்வர்,பெண்,"சிசுபாலன், டில்லி டு மெட்ராஸ், உறவுகள் என்றும் வாழ்க, தங்க ரங்கன், திருக்கல்யாணம், ராதைக்கேற்ற கண்ணன், அன்புள்ள மலரே, எழுதாத சட்டங்கள், இவர்கள் வித்தியாசமானவர்கள், நன்றிக்கரங்கள், ராஜராஜ சோழன், புன்னகை மன்னன், அபூர்வ சகோதரர்கள், தளபதி, சேதுபதி ஐ.பி.எஸ், நம்மவர், ஆஹா, கண்ணெதிரே தோன்றினாள், காதலுக்கு மரியாதை, காதலா! காதலா!, உன்னை தேடி, சங்கமம், கண்டுகொண்டேன் கண்டுகொண்டேன், ஆனந்தம், ஜனா, லண்டன்",1953,60,"திருவனந்தபுரம், கேரளம்","நடிகை, கர்நாடக இசை பாடகி",32
சரிதா,1978,அவள் அப்படித்தான்.,பெண்,"அண்ணி, அக்னி சாட்சி, கல்யாண அகதிகள், பொண்ணு ஊருக்கு புதிசு, எங்க ஊரு பொண்ணு, புதுக்கவிதை, சிவப்பு சூரியன், தங்கைக்கு ஒரு கீதம், நூல்வேலி, பூப்பூவா பூத்திருக்கு, வேதம் புதிது, ஒரு புல்லாங்குழல் அடுப்பூதுகிறது, தாய் மூகாம்பிகை, மேல் மருவத்தூர் ஆதி பராசக்தி, கீழ்வானம் சிவக்கும், வண்டிச்சக்கரம், ஆல்பம், ஜூலி கணபதி",1960,61,"குண்டகல் ஆந்திர பிரதேசம், இந்தியா","நடிகை, பின்னணிக் குரல்",27
ராதிகா,1978,கிழக்கே போகும் இரயில்,பெண்,"கிழக்கே போகும் ரெயில், நிறம் மாறாத பூக்கள், இன்று போய் நாளை வா, போக்கிரி ராஜா, மூன்று முகம், ரெட்டை வால் குருவி, பூந்தோட்ட காவல்காரன், தைப் பொங்கல், ஊர்க்காவலன், கிழக்குச் சீமையிலே, வீரபாண்டியன், தெற்கத்தி கள்ளன், சிப்பிக்குள் முத்து, நல்லவனுக்கு நல்லவன், தாவணி கனவுகள், பசும் பொன்",1963,58,"கொழும்பு, இலங்கை","நடிகை, தொலைக்காட்சி நடிகை, தயாரிப்பாளர்",69
ரேவதி,1983,மண்வாசனை,பெண்,"மண்வாசனை, புதுமைப்பெண், ஆகாயத் தாமரைகள், ஆண்பாவம், உதயகீதம், ஒரு கைதியின் டைரி, கன்னிராசி, செல்வி, பகல் நிலவு, லட்சுமி வந்தாச்சு, புன்னகை மன்னன், கிராமத்து மின்னல்",1966,55,"கொச்சி, கேரளா, இந்தியா","நடிகை, இயக்குநர்",58
லதா,1973,உலகம் சுற்றும் வாலிபன்,பெண்,"உலகம் சுற்றும் வாலிபன், நேற்று இன்று நாளை, சிரித்து வாழ வேண்டும், உரிமைக்குரல், சிவகாமியின் செல்வன், பல்லாண்டு வாழ்க, நாளை நமதே, நினைத்ததை முடிப்பவன், உழைக்கும் கரங்கள், நீதிக்கு தலைவணங்கு, நவரத்தினம்",1953,60,"தமிழ்நாடு, இந்தியா",நடிகை,41
நிர்மலா,1965,வெண்ணிற ஆடை,பெண்,"பூவா தலையா, மன்னிப்பு , பாபு, தங்கைக்காக, வெகுளி பெண், அவள், எடுப்பார் கை பிள்ளை, காளி, கல்லுக்குள் ஈரம், அருணாச்சலம், வாய்மையே வெல்லும், தாலி காத்த காளியம்மன், சங்கர் தாதா எம். பி. பி. எசு, இதயக்கனி, ரகசிய போலீஸ் 101",1948,73,"கும்பகோணம், தஞ்சாவூர் மாவட்டம்,சென்னை மாகாணம்",நடிகை,9
ஈ. வி. சரோஜா,1989,என் தங்கை,பெண்,"விளையாட்டு பொம்மை‎, பெண்ணரசி, அமரதீபம், கொடுத்து வைத்தவள், என் தங்கை, குலேபகாவலி, நன்னம்பிக்கை, பாசவலை, மறுமலர்ச்சி ‎, ரம்பையின் காதல், எங்கள் வீட்டு, மகாலட்சுமி ‎, நீலமலைத்திருடன், புதுமைப்பித்தன், மணாளனே மங்கையின் பாக்கியம், கடன் வாங்கி கல்யாணம் ‎",1935,75,"கும்பகோணம், தஞ்சாவூர் மாவட்டம்,சென்னை மாகாணம்",நடிகை,55
சரோஜாதேவி,1958,நாடோடி மன்னன் ,பெண்,"பனித்திரை , பாகப்பிரிவினை, பாசம், பார்த்தால் பசி தீரும், பாலும் பழமும் , பிரசிடெண்ட் பஞ்சாட்சரம், தங்கமலை ரகசியம், புதிய பறவை, பெரிய இடத்துப் பெண், பெற்றால்தான் பிள்ளையா, மாடப்புறா , யானைப்பாகன், வளர் பிறை, வாழ்க்கை வாழ்வதற்கே, வாழவைத்த தெய்வம், விடிவெள்ளி, தேனும் பாலும், பாரம்பரியம் , செல்வம்",1938,83,"கர்நாடகா, இந்தியா",நடிகை,76
தேவிகா,1957,மணமகன் தேவை ,பெண்,"சத்யம், இப்படியும் ஒரு பெண் , பிள்ளைச் செல்வம், பாரத விலாஸ், வெகுளிப் பெண் , அன்னை வேளாங்கண்ணி , எங்கிருந்தோ வந்தாள், தேவி, தெய்வீக உறவு, பெண்ணே நீ வாழ்க, சரஸ்வதி சபதம் , மறக்க முடியுமா, திருவிளையாடல், அன்புக்கரங்கள், சாந்தி, பூஜைக்கு வந்த மலர் , நீலவானம், பழனி, வாழ்க்கைப் படகு , முரடன் முத்து (1964)",1943,75,"சென்னை, தமிழ்நாடு",நடிகை,12
சாவித்திரி ,1952,கல்யாணம் பண்ணிப்பார்,பெண்,"கல்யாணம் பண்ணிப்பார் , தேவதாஸ், வஞ்சம், பரோபகாரம், மனம்போல் மாங்கல்யம் , சுகம் எங்கே, செல்லப்பிள்ளை, குணசுந்தரி , மாமன் மகள் , மகேஸ்வரி, மிஸ்ஸியம்மா , மாதர் குல மாணிக்கம் , அமரதீபம், பெண்ணின் பெருமை, யார் பையன், மாயா பஜார் , மகாதேவி , இரு சகோதரிகள் , எங்கள் வீட்டு மகாலட்சுமி",1936,80,"சென்னை, தமிழ்நாடு,",நடிகை,34
பானுமதி,1947,சித்ரபகாவலி ,பெண்,"சித்ரபகாவலி , தேவமனோகரி , நல்ல தம்பி, அபூர்வ சகோதரர்கள், ரத்னகுமார், காதல் , சண்டிராணி , மலைக்கள்ளன், கள்வனின் காதலி , ரம்பையின் காதல், அலிபாபாவும் நாற்பது திருடர்களும், சதாரம் , தாய்க்குப்பின் தாரம், ரங்கோன் ராதா, மக்களைப்பெற்ற மகராசி ",1925,80,"தோடவரம், பிரகாசம் மாவட்டம், ஆந்திரப் பிரதேசம், இந்தியா","நடிகை, எழுத்தாளர், இயக்குனர், பின்னணிப் பாடகி",43
ரகுவரன்,1982,ஏழாவது மனிதன்,ஆண்,"காக்கா, ஏழாவது மனிதன், ஒரு ஓடை நதியாகிறது, சில்க் சில்க் சில்க், நீ தொடும் போது, முடிவல்ல ஆரம்பம், குற்றவாளி, எங்கிருந்தாலும் வாழ்க, சம்சாரம் அது மின்சாரம், மீண்டும் பல்லவி, மந்திரப் புன்னகை",1958,62,"கொல்லன்கோடு, பாலக்காடு மாவட்டம், கேரளா",நடிகர்,59
ராதாரவி,1977,மன்மதலீலை,ஆண்,"வீட்டுக்காரி, காதல் ஓவியம், உயிருள்ளவரை உஷா, சிவப்பு, சூரியன், சூரக்கோட்டை சிங்கக்குட்டி, பொய்கால் குதிரை, இரு மேதைகள், மதுரை சூரன், அண்ணாமலை, வீரன் வேலுத்தம்பி, சின்ன முத்து, அமரன், மருது, பூமகள் ஊர்வலம், என்றென்றும் காதல்",1952,69,"திருச்சிராப்பள்ளி, மெட்ராஸ் மாகாணம், இந்தியா",நடிகர்,56
பிரகாஷ் ராஜ்,1994,டூயட்,ஆண்,"தோனி, அபியும் நானும், காஞ்சிவரம், சந்தோஷ் சுப்பிரமணியம், பீமா, அழகிய தீயே, சொக்கத்தங்கம், எம். குமரன் தா/பெ மகாலஷ்மி, வில்லு, பாரிஜாதம், வானம், கையளவு மனசு, ஆசை, வேங்கை, சகுனி, ராசி, பொன்னர் சங்கர், தீராத விளையாட்டுப் பிள்ளை, பிறந்த நாள், சின்ன சின்னக் கண்ணிலே",1965,56,"மங்களூர், கர்நாடகா, இந்தியா இந்தியா","நடிகர், இயக்குநர்,
தயாரிப்பாளர்",75
