நடிகர்,அறிமுகஆண்டு,அறிமுகதிரைபடம்,பாலினம்,குறிப்பிடத்தக்க படங்கள்,பிறப்பு,அகவை,பிறந்த இடம்,பணி,திரைப்பட எண்ணிக்கை
அப்பாஸ்,1996,காதல் தேசம்,ஆண்,"காதல் வைரஸ், இனி எல்லாம் சுகமே, கண்ணெழுதி தொட்டும் பொட்டு படையப்பா, மலபார் போலீஸ், விண்ணுக்கும் மண்ணுக்கும், ஆனந்தம், அழகிய தீயே",1975,46,"கொல்கத்தா, ",நடிகர்,19
பிரசாந்த்,1990,வைகாசி பொறந்தாச்சு,ஆண்,"வைகாசி பொறந்தாச்சு,  வண்ண வண்ண பூக்கள், உனக்காக பிறந்தேன், செம்பருத்தி, ஐ லவ் யூ, செந்தமிழ்ச்செல்வன்",1973,48,சென்னை தமிழ்நாடு,நடிகர்,44
பிரபு தேவா,1988,அக்னி நட்சத்திரம்,ஆண்,"அக்னி நட்சத்திரம், உள்ளம் கொள்ளை போகுதே,ஏழையின் சிரிப்பில், உன்னை வாழ்த்திப் பாடுகிறேன், சுயம்வரம்,  காதலா காதலா,நாம் இருவர் நமக்கு இருவர், நினைவிருக்கும் வரை",1973,48,"மைசூர் மாநிலம், மைசூர்","நடன இயக்குனர், நடிகர், இயக்குனர்",48
விக்ரம்,1991,தந்துவிட்டேன் என்னை,ஆண்,"சேது , விண்ணுக்கும் மண்ணுக்கும் , சாமி, பிதாமகன் , ஐ , உல்லாசம், காதல் சடுகுடு, பிதாமகன், அந்நியன்",1966,55,"சென்னை, தமிழ்நாடு",நடிகர்,46
விவேக்,1987, மனதில் உறுதி வேண்டும்,ஆண்,"மனதில் உறுதி வேண்டும் , புதுப்புது அர்த்தங்கள், ஒரு வீடு இரு வாசல், கேளடி கண்மணி,  இதய ஊஞ்சல், உரிமை ஊஞ்சலாடுகிறது, கிழக்கு வீதி",1961,60,"கோவில்பட்டி, தூத்துக்குடி மாவட்டம், தமிழ்நாடு","நடிகர், சமூக செயற்பாட்டாளர்",61
நெப்போலியன்,1991,புது நெல்லு புது நாத்து,ஆண்,"தசாவதாரம், விருமாண்டி, சுயம்வரம், தாயகம், கிழக்குச் சீமையிலே, புது நெல்லு புது நாத்து, சீவலப்பேரி பாண்டி",1963,57,"திருச்சி, தமிழ்நாடு",நடிகர்,75
வடிவேலு,1988,என் தங்கை கல்யாணி,ஆண்," என் தங்கை கல்யாணி, என் ராசாவின் மனசிலே,இளவரசன், சிங்கார வேலன், அரண்மனைக்கிளி, பொன்னுமணி, கோகுலம்,  கிழக்குச் சீமையிலே",1960,61,"மதுரை, தமிழ்நாடு,","நடிகர், நகைச்சுவை நடிகர், பின்னணிப் பாடகர்",58
சார்லி,1983,உன்னைப் போல் ஒருவன்,ஆண்,"பொய்க்கால் குதிரை, வெள்ளைப்பூக்கள் ,மாநகரம் ,பிழை,பாபநாசம்,வேங்கை, ஆனந்த தாண்டவம் , அவர்களும் இவர்களும்",1960,61,"விருதுநகர், தமிழ்நாடு",நகைச்சுவை நடிகர்,90
செந்தில்,1979,ஒரு கோவில் இரு தீபங்கள்,ஆண்,"ஒரு கோவில் இரு தீபங்கள்,இன்று போய் நாளை வா, தூறல் நின்னு போச்சு, மஞ்சள் நிலா, நிஜங்கள் ,சாட்சி ,சாட்டை இல்லாத பம்பரம் ,பகவதிபுரம் ரெயில்வே கேட் ,மலையூர் மம்பட்டியான்",1951,70,"இராமநாதபுரம், தமிழ்நாடு","நகைச்சுவை நடிகர், அரசியல்வாதி",96
கவுண்டமணி,1989,கரகாட்டக்காரன்,ஆண்,"கரகாட்டக்காரன்,சின்னக்கவுண்டர்,உள்ளத்தை அள்ளித்தா,மேட்டுக்குடி,நடிகன்,தங்கம்,மன்னன்,இந்தியன்,நாட்டாமை,மாமன் மகள்,உனக்காக எல்லாம் உனக்காக,முறை மாமன்,சூரியன்",1939,82,"உடுமலைப்பேட்டை, கோயம்புத்தூர்",நகைச்சுவை நடிகர்,80
விஜயகுமார்,1973, பொண்ணுக்கு தங்க மனசு,ஆண்,"அக்னி நட்சத்திரம், கிழக்குச்சீமையிலே, குசேலன், சேரன்,பாண்டியன், நாட்டாமை, முதல்வன், மஜா, சந்திரமுகி, சாமி, சிங்கம், அந்தி மந்தாரை, பொண்ணுக்கு தங்க மனசு, அவள் ஒரு தொடர்கதை, அழகே உன்னை ஆராதிக்கிறேன், பெரிய இடத்து மாப்பிள்ளை",1943,78,"நாட்டுச்சாலை, பட்டுக்கோட்டை, தமிழ்நாடு", நடிகர்,65
